Col1,Col2,Col3,Col4
"Hernan,Perez",441,
"Ramon,Laureano",441,
"Jorge,Soler",441,
"Mitch,Moreland",441,
"Adam,Duvall",441,
"Mike,Trout",441,
"Jordan,Luplow",441,
"Trevor,Story",441,
"Cesar,Hernandez",441,
"Chris,Taylor",440,
"Paul,Goldschmidt",440,
"Nolan,Arenado",440,
"Mookie,Betts",440,
"Joey,Gallo",440,
"Jeimer,Candelario",440,
"Juan,Soto",440,
"Nolan,Arenado",440,
"David,Bote",440,
"Tyler,Austin",440,
"Logan,Morrison",440,
"Gregory,Polanco",440,
"J.D.,Martinez",440,
"Miguel,Sano",440,
"Kevin,Pillar",440,
"Austin,Romine",440,
"Teoscar,Hernandez",440,
"Corey,Seager",440,
"Mike,Trout",440,
"David,Peralta",440,
"Luis,Valbuena",440,
"Teoscar,Hernandez",440,
"Adrian,Beltre",439,
"Carlos,Gonzalez",439,
"C.J.,Cron",439,
"Paul,Goldschmidt",439,
"Wil,Myers",439,
"Gary,Sanchez",439,
"Christian,Yelich",439,
"Eric,Hosmer",439,
"Bryce,Harper",439,
"DJ,LeMahieu",439,
"Kyle,Schwarber",439,
"Nolan,Arenado",439,
"Nick,Williams",439,
"Carlos,Correa",439,
"Daniel,Palka",439,
"Mike,Trout",439,
"Hunter,Dozier",439,
"Cody,Bellinger",439,
"C.J.,Cron",439,
"Pat,Valaika",439,
"Yadier,Molina",438,
"Nolan,Arenado",438,
"Jackie,Bradley,Jr.",438
"Kevan,Smith",438,
"Justin,Upton",438,
"Matt,Olson",438,
"Mike,Trout",438,
"Khris,Davis",438,
"Jesse,Winker",438,
"Eric,Hosmer",438,
"Steve,Pearce",438,
"Trey,Mancini",438,
"Travis,Shaw",438,
"Ian,Desmond",438,
"Rafael,Devers",438,
"Ryan,McMahon",438,
"Dansby,Swanson",438,
"Ji-Man,Choi",438,
"Mike,Moustakas",438,
"David,Dahl",438,
"Nick,Ahmed",438,
"Mike,Zunino",438,
"Aaron,Judge",438,
"Hunter,Renfroe",438,
"Travis,Shaw",437,
"Bryce,Harper",437,
"Kyle,Schwarber",437,
"Joc,Pederson",437,
"James,McCann",437,
"Hunter,Renfroe",437,
"Todd,Frazier",437,
"Tommy,Pham",437,
"Amed,Rosario",437,
"Joc,Pederson",437,
"Manny,Machado",437,
"Ian,Happ",437,
"George,Springer",437,
"Justin,Bour",437,
"Nelson,Cruz",437,
"Cole,Hamels",437,
"Bryce,Harper",437,
"Kendrys,Morales",437,
"Nomar,Mazara",437,
"Dustin,Fowler",437,
"Pedro,Alvarez",437,
"Randal,Grichuk",437,
"Andrew,Benintendi",437,
"Giancarlo,Stanton",437,
"Carlos,Santana",437,
"Justin,Upton",437,
"Mookie,Betts",437,
"Adalberto,Mondesi",437,
"Hunter,Pence",437,
"Adalberto,Mondesi",437,
"DJ,LeMahieu",437,
"A.J.,Pollock",436,
"Nomar,Mazara",436,
"Ji-Man,Choi",436,
"Kole,Calhoun",436,
"Paul,Goldschmidt",436,
"David,Dahl",436,
"Jackie,Bradley,Jr.",436
"Joey,Gallo",436,
"J.D.,Martinez",436,
"Shin-Soo,Choo",436,
"Gary,Sanchez",436,
"Chris,Iannetta",436,
"Brad,Miller",436,
"Lucas,Duda",436,
"Juan,Soto",436,
"Joey,Gallo",436,
"Aaron,Judge",436,
"Xander,Bogaerts",436,
"Neil,Walker",436,
"Jose,Martinez",436,
"Nelson,Cruz",436,
"Cody,Bellinger",436,
"Kyle,Schwarber",436,
"Tommy,Pham",436,
"Mike,Zunino",436,
"George,Springer",436,
"Stephen,Piscotty",436,
"Tyler,O'Neill",436,
"Ronald,Acuna,Jr.",436
"Jurickson,Profar",436,
"Carlos,Gonzalez",436,
"Brandon,Dixon",436,
"Charlie,Blackmon",436,
"Brandon,Crawford",436,
"Shohei,Ohtani",435,
"Tom,Murphy",435,
"Gleyber,Torres",435,
"Albert,Almora,Jr.",435
"Giancarlo,Stanton",435,
"Justin,Upton",435,
"Maikel,Franco",435,
"Nomar,Mazara",435,
"Ryan,Braun",435,
"Javier,Baez",435,
"Tyler,Flowers",435,
"Mike,Trout",435,
"Cody,Bellinger",435,
"Gregory,Polanco",435,
"Matt,Davidson",435,
"Trevor,Story",435,
"Brandon,Nimmo",435,
"Mitch,Walding",435,
"C.J.,Cron",435,
"Yan,Gomes",435,
"Charlie,Blackmon",435,
"Salvador,Perez",435,
"Mark,Trumbo",435,
"David,Peralta",435,
"Nomar,Mazara",435,
"Josh,Donaldson",435,
"Ryon,Healy",435,
"David,Freese",435,
"Evan,Longoria",435,
"Willson,Contreras",435,
"Christian,Yelich",435,
"Marcell,Ozuna",435,
"Chris,Davis",434,
"Howie,Kendrick",434,
"Mark,Canha",434,
"Mac,Williamson",434,
"George,Springer",434,
"Edwin,Encarnacion",434,
"Teoscar,Hernandez",434,
"Mitch,Haniger",434,
"Anthony,Rizzo",434,
"Jose,Abreu",434,
"Charlie,Blackmon",434,
"John,Ryan,Murphy",434
"Carlos,Gonzalez",434,
"Ronald,Acuna,Jr.",434
"Wilson,Ramos",434,
"Yangervis,Solarte",434,
"Luis,Urias",434,
"Khris,Davis",434,
"David,Dahl",434,
"Yasiel,Puig",434,
"Jose,Abreu",434,
"Jose,Ramirez",434,
"David,Peralta",434,
"J.D.,Martinez",434,
"David,Dahl",434,
"Nolan,Arenado",434,
"Matt,Chapman",434,
"Brian,Anderson",434,
"Mitch,Moreland",434,
"Christian,Villanueva",434,
"Josh,Reddick",434,
"Giancarlo,Stanton",434,
"Marcell,Ozuna",434,
"Javier,Baez",434,
"J.T.,Realmuto",434,
"Logan,Morrison",434,
"Gorkys,Hernandez",433,
"Jesus,Aguilar",433,
"Yoan,Moncada",433,
"Jurickson,Profar",433,
"Bryce,Harper",433,
"Tommy,Pham",433,
"Brad,Miller",433,
"Erik,Kratz",433,
"Brent,Suter",433,
"Lourdes,Gurriel,Jr.",433
"Yoan,Moncada",433,
"Mark,Reynolds",433,
"Evan,Longoria",433,
"Amed,Rosario",433,
"Gerardo,Parra",433,
"Ender,Inciarte",433,
"Kris,Bryant",433,
"Ronald,Acuna,Jr.",433
"Daniel,Palka",433,
"Ronald,Guzman",433,
"Daniel,Vogelbach",433,
"Tyler,Austin",433,
"Jorge,Alfaro",433,
"Jeimer,Candelario",433,
"Xander,Bogaerts",433,
"C.J.,Cron",433,
"Pedro,Alvarez",433,
"Ian,Happ",433,
"Eric,Hosmer",433,
"Jorge,Alfaro",433,
"Scott,Schebler",433,
"Paul,Goldschmidt",432,
"Nick,Hundley",432,
"Ronald,Acuna,Jr.",432
"Rene,Rivera",432,
"Christian,Yelich",432,
"Giancarlo,Stanton",432,
"Matt,Carpenter",432,
"Ronald,Acuna,Jr.",432
"Christian,Yelich",432,
"Luis,Valbuena",432,
"Joey,Gallo",432,
"Josh,Bell",432,
"Xander,Bogaerts",432,
"Mike,Zunino",432,
"Rafael,Devers",432,
"Daniel,Palka",432,
"Giancarlo,Stanton",432,
"Chris,Iannetta",432,
"Michael,Conforto",432,
"Josh,Bell",432,
"Brandon,Phillips",432,
"Daniel,Palka",432,
"Lucas,Duda",432,
"Hanley,Ramirez",432,
"Tyler,Austin",432,
"Pedro,Alvarez",432,
"Logan,Morrison",432,
"Khris,Davis",432,
"Derek,Dietrich",432,
"Daniel,Descalso",432,
"Tim,Beckham",431,
"Avisail,Garcia",431,
"David,Bote",431,
"Mike,Zunino",431,
"Kole,Calhoun",431,
"Paul,Goldschmidt",431,
"Enrique,Hernandez",431,
"Johan,Camargo",431,
"Ryan,O'Hearn",431,
"Rhys,Hoskins",431,
"Aledmys,Diaz",431,
"J.D.,Martinez",431,
"Scott,Schebler",431,
"Trayce,Thompson",431,
"Nomar,Mazara",431,
"Justin,Bour",431,
"Giancarlo,Stanton",431,
"J.D.,Martinez",431,
"Christian,Yelich",431,
"Evan,Longoria",431,
"Taylor,Ward",431,
"Hanley,Ramirez",431,
"Bryce,Harper",431,
"Miguel,Rojas",431,
"Rhys,Hoskins",431,
"Khris,Davis",431,
"Michael,Conforto",431,
"Lorenzo,Cain",431,
"Yasiel,Puig",431,
"Yonder,Alonso",431,
"Paul,DeJong",431,
"David,Dahl",431,
"Jurickson,Profar",431,
"Daniel,Robertson",431,
"Lucas,Duda",431,
"A.J.,Pollock",431,
"Tyler,Saladino",431,
"Nick,Williams",431,
"Harrison,Bader",431,
"Dansby,Swanson",431,
"Max,Muncy",430,
"Chris,Davis",430,
"Travis,Shaw",430,
"Jonathan,Villar",430,
"Welington,Castillo",430,
"Justin,Turner",430,
"Nick,Ahmed",430,
"Ronald,Acuna,Jr.",430
"Paul,Goldschmidt",430,
"Didi,Gregorius",430,
"Nolan,Arenado",430,
"Avisail,Garcia",430,
"Francisco,Pena",430,
"Willson,Contreras",430,
"Joey,Gallo",430,
"Mookie,Betts",430,
"Mike,Trout",430,
"Jake,Cave",430,
"Anthony,Rendon",430,
"C.J.,Cron",430,
"Jose,Abreu",430,
"Albert,Pujols",430,
"Xander,Bogaerts",430,
"Gorkys,Hernandez",430,
"Albert,Pujols",430,
"Tommy,Pham",430,
"Adrian,Gonzalez",430,
"Evan,Gattis",430,
"Nelson,Cruz",430,
"Luke,Voit",430,
"Whit,Merrifield",430,
"Domingo,Santana",429,
"Ryder,Jones",429,
"Eugenio,Suarez",429,
"Nolan,Arenado",429,
"Anthony,Rendon",429,
"Cameron,Maybin",429,
"David,Peralta",429,
"Hunter,Renfroe",429,
"Luis,Valbuena",429,
"Salvador,Perez",429,
"Yoan,Moncada",429,
"Ryan,Braun",429,
"Tyler,Saladino",429,
"Jose,Altuve",429,
"Yasmani,Grandal",429,
"Jake,Cave",429,
"Cesar,Hernandez",429,
"Gerardo,Parra",429,
"Brandon,Belt",429,
"Anthony,Rizzo",429,
"Chris,Iannetta",429,
"Jesus,Aguilar",429,
"Charlie,Blackmon",429,
"Jesus,Aguilar",429,
"Yan,Gomes",429,
"C.J.,Cron",429,
"Matt,Chapman",429,
"Neil,Walker",429,
"Lewis,Brinson",429,
"Daniel,Vogelbach",429,
"Joey,Gallo",429,
"Jake,Cave",429,
"Jose,Bautista",429,
"Rougned,Odor",429,
"Lewis,Brinson",429,
"Matt,Olson",429,
"Rougned,Odor",429,
"Robinson,Chirinos",429,
"Kyle,Schwarber",429,
"Michael,Conforto",429,
"Mitch,Moreland",429,
"Nick,Markakis",429,
"Aaron,Judge",429,
"Mike,Zunino",429,
"Isaac,Galloway",428,
"Nomar,Mazara",428,
"Charlie,Blackmon",428,
"Marcus,Semien",428,
"Shohei,Ohtani",428,
"Ketel,Marte",428,
"Pedro,Severino",428,
"Joey,Gallo",428,
"Elvis,Andrus",428,
"Francisco,Cervelli",428,
"Jake,Marisnick",428,
"Paul,Goldschmidt",428,
"Ryan,Braun",428,
"Mike,Zunino",428,
"Miguel,Andujar",428,
"Manny,Pina",428,
"Giancarlo,Stanton",428,
"Matt,Olson",428,
"Randal,Grichuk",428,
"Trevor,Story",428,
"Matt,Chapman",428,
"Michael,Conforto",428,
"Devon,Travis",428,
"Ryan,Flaherty",428,
"Gorkys,Hernandez",428,
"Daniel,Palka",428,
"Nelson,Cruz",428,
"Anthony,Rizzo",427,
"Starlin,Castro",427,
"Christian,Walker",427,
"Mitch,Haniger",427,
"Matt,Kemp",427,
"Nick,Markakis",427,
"Hunter,Renfroe",427,
"Daniel,Robertson",427,
"Joe,Mauer",427,
"Eduardo,Escobar",427,
"Yuli,Gurriel",427,
"Miguel,Andujar",427,
"Salvador,Perez",427,
"Gregory,Polanco",427,
"Justin,Upton",427,
"Yolmer,Sanchez",427,
"Ian,Desmond",427,
"Eugenio,Suarez",427,
"Manny,Machado",427,
"Dansby,Swanson",427,
"J.D.,Martinez",427,
"Andrew,McCutchen",427,
"Max,Kepler",427,
"Mark,Trumbo",427,
"Adalberto,Mondesi",427,
"George,Springer",427,
"Patrick,Wisdom",427,
"Rafael,Devers",427,
"Phillip,Ervin",427,
"Brian,Anderson",427,
"Kole,Calhoun",427,
"Mitch,Moreland",427,
"Franmil,Reyes",427,
"Ryon,Healy",427,
"Victor,Robles",427,
"Daniel,Palka",427,
"Mike,Trout",427,
"Nelson,Cruz",427,
"Trea,Turner",427,
"Ozzie,Albies",427,
"Max,Kepler",427,
"Edwin,Encarnacion",427,
"Enrique,Hernandez",426,
"Matt,Davidson",426,
"Hernan,Perez",426,
"Jeimer,Candelario",426,
"Jorge,Alfaro",426,
"Teoscar,Hernandez",426,
"Jose,Peraza",426,
"Chris,Iannetta",426,
"Ian,Happ",426,
"John,Hicks",426,
"Scott,Schebler",426,
"Xander,Bogaerts",426,
"Adalberto,Mondesi",426,
"Trevor,Story",426,
"Eugenio,Suarez",426,
"Teoscar,Hernandez",426,
"Anthony,Rendon",426,
"Kris,Bryant",426,
"Brett,Gardner",426,
"John,Ryan,Murphy",426
"Freddie,Freeman",426,
"Giancarlo,Stanton",426,
"Jurickson,Profar",426,
"Khris,Davis",426,
"Chris,Taylor",426,
"Giancarlo,Stanton",426,
"Jorge,Alfaro",426,
"Abraham,Almonte",426,
"Patrick,Wisdom",426,
"Miguel,Andujar",426,
"Max,Kepler",426,
"Hernan,Perez",426,
"Johan,Camargo",426,
"Mookie,Betts",426,
"Matt,Davidson",426,
"Nelson,Cruz",426,
"Brock,Holt",426,
"Manny,Machado",426,
"Miles,Mikolas",426,
"Kevin,Pillar",425,
"Christian,Yelich",425,
"Xander,Bogaerts",425,
"Joey,Gallo",425,
"Mitch,Moreland",425,
"Matt,Chapman",425,
"Gleyber,Torres",425,
"Ryan,Braun",425,
"Derek,Fisher",425,
"Franmil,Reyes",425,
"Kyle,Schwarber",425,
"Anthony,Rizzo",425,
"David,Peralta",425,
"Matt,Carpenter",425,
"Bryce,Harper",425,
"Austin,Slater",425,
"Ryon,Healy",425,
"Travis,Shaw",425,
"Ketel,Marte",425,
"Yasmani,Grandal",425,
"C.J.,Cron",425,
"Pedro,Severino",425,
"Mike,Trout",425,
"Daniel,Murphy",425,
"Yasmani,Grandal",425,
"Jedd,Gyorko",425,
"Matt,Adams",425,
"Martin,Maldonado",425,
"Brad,Miller",425,
"Hunter,Renfroe",425,
"Travis,Shaw",425,
"Rafael,Devers",425,
"Bryce,Harper",425,
"Matt,Carpenter",425,
"Johnny,Field",425,
"Trevor,Story",425,
"Abraham,Almonte",425,
"Michael,A.,Taylor",425
"Francisco,Lindor",425,
"Renato,Nunez",425,
"Erik,Kratz",425,
"Jake,Marisnick",425,
"Trea,Turner",425,
"Robinson,Chirinos",425,
"Nolan,Arenado",425,
"Matt,Kemp",425,
"Edwin,Encarnacion",425,
"John,Ryan,Murphy",425
"Marcell,Ozuna",425,
"Hunter,Dozier",425,
"Christian,Arroyo",425,
"Evan,Longoria",425,
"Manuel,Margot",424,
"Nicholas,Castellanos",424,
"Eduardo,Escobar",424,
"Danny,Valencia",424,
"Hunter,Dozier",424,
"Yasmani,Grandal",424,
"Jake,Cave",424,
"Michael,Brantley",424,
"Willy,Adames",424,
"Javier,Baez",424,
"Jose,Martinez",424,
"Teoscar,Hernandez",424,
"Chris,Iannetta",424,
"Francisco,Lindor",424,
"Jose,Pirela",424,
"Chad,Pinder",424,
"Jose,Ramirez",424,
"Nick,Williams",424,
"Brock,Holt",424,
"Mookie,Betts",424,
"Renato,Nunez",424,
"Justin,Bour",424,
"Ryan,Zimmerman",424,
"Edwin,Encarnacion",424,
"Gary,Sanchez",424,
"Michael,Conforto",424,
"Kyle,Seager",424,
"Franklin,Barreto",424,
"Chris,Davis",424,
"Logan,Morrison",424,
"Marcus,Semien",424,
"Scott,Schebler",424,
"Bryce,Harper",424,
"Odubel,Herrera",424,
"Jim,Adduci",424,
"Khris,Davis",424,
"Daniel,Palka",424,
"Khris,Davis",424,
"Cesar,Hernandez",424,
"David,Peralta",424,
"Adrian,Beltre",424,
"John,Hicks",424,
"Russell,Martin",424,
"Carlos,Gomez",424,
"Chris,Iannetta",424,
"Brett,Phillips",423,
"Josh,Donaldson",423,
"Trevor,Story",423,
"Javier,Baez",423,
"Adam,Engel",423,
"Odubel,Herrera",423,
"Franmil,Reyes",423,
"Cameron,Maybin",423,
"Jose,Martinez",423,
"Starlin,Castro",423,
"Travis,Shaw",423,
"Yasmani,Grandal",423,
"Tommy,Pham",423,
"A.J.,Pollock",423,
"Travis,Shaw",423,
"Gary,Sanchez",423,
"Xander,Bogaerts",423,
"Mac,Williamson",423,
"Willy,Adames",423,
"Paul,Goldschmidt",423,
"Ketel,Marte",423,
"George,Springer",423,
"Manny,Machado",423,
"Francisco,Lindor",423,
"Joe,Mauer",423,
"Logan,Forsythe",423,
"Rowdy,Tellez",423,
"Gary,Sanchez",423,
"Justin,Upton",423,
"Rhys,Hoskins",423,
"Joc,Pederson",423,
"A.J.,Pollock",423,
"Francisco,Lindor",423,
"Jason,Heyward",423,
"Jose,Briceno",423,
"Curtis,Granderson",423,
"Hunter,Dozier",423,
"Matt,Kemp",423,
"Ben,Zobrist",423,
"Travis,Shaw",423,
"Jose,Ramirez",423,
"C.J.,Cron",423,
"Eric,Young,Jr.",423
"Nomar,Mazara",423,
"Aramis,Garcia",423,
"Max,Stassi",423,
"Carlos,Santana",423,
"Yasiel,Puig",423,
"Xander,Bogaerts",423,
"Nelson,Cruz",423,
"Nolan,Arenado",423,
"Hernan,Perez",423,
"Starlin,Castro",423,
"Joey,Gallo",422,
"Manny,Machado",422,
"Jose,Abreu",422,
"Evan,Gattis",422,
"Jose,Abreu",422,
"Andrew,McCutchen",422,
"Carlos,Santana",422,
"Jose,Rondon",422,
"Adam,Jones",422,
"Mitch,Haniger",422,
"Javier,Baez",422,
"Marwin,Gonzalez",422,
"Paul,Goldschmidt",422,
"Cody,Bellinger",422,
"Marcell,Ozuna",422,
"Harrison,Bader",422,
"Alex,Gordon",422,
"Wilmer,Flores",422,
"Odubel,Herrera",422,
"Mike,Moustakas",422,
"Andrew,McCutchen",422,
"Jake,Cave",422,
"Khris,Davis",422,
"Kyle,Schwarber",422,
"Matt,Adams",422,
"Lorenzo,Cain",422,
"Robbie,Grossman",422,
"Hunter,Renfroe",422,
"Justin,Upton",422,
"Daniel,Descalso",422,
"J.D.,Martinez",422,
"Luke,Voit",422,
"Ryan,Zimmerman",422,
"Chris,Davis",422,
"Joc,Pederson",422,
"Manuel,Margot",422,
"Jonathan,Villar",422,
"Derek,Dietrich",422,
"Michael,Brantley",422,
"A.J.,Pollock",422,
"Sean,Rodriguez",422,
"J.T.,Realmuto",422,
"Cody,Bellinger",422,
"Jeimer,Candelario",422,
"C.J.,Cron",422,
"Trevor,Story",422,
"Matt,Kemp",422,
"Matt,Chapman",422,
"Juan,Soto",422,
"Trevor,Story",422,
"Franchy,Cordero",422,
"Edwin,Encarnacion",422,
"Jurickson,Profar",422,
"Charlie,Blackmon",422,
"Gregory,Polanco",421,
"Starling,Marte",421,
"Anthony,Rendon",421,
"Matt,Carpenter",421,
"Corey,Dickerson",421,
"Kris,Bryant",421,
"Mark,Canha",421,
"Austin,Hedges",421,
"Austin,Romine",421,
"Hunter,Renfroe",421,
"Buster,Posey",421,
"Christian,Yelich",421,
"Jake,Marisnick",421,
"Jonathan,Villar",421,
"Joc,Pederson",421,
"Mikie,Mahtook",421,
"Tyler,Austin",421,
"Hunter,Renfroe",421,
"Max,Muncy",421,
"Cameron,Maybin",421,
"Freddie,Freeman",421,
"Avisail,Garcia",421,
"Manny,Machado",421,
"Bryce,Harper",421,
"Freddie,Freeman",421,
"Yasiel,Puig",421,
"Aaron,Altherr",421,
"Alex,Avila",421,
"Khris,Davis",421,
"Leury,Garcia",421,
"Khris,Davis",421,
"Tucker,Barnhart",421,
"Matt,Adams",421,
"Eugenio,Suarez",421,
"Evan,Gattis",421,
"Asdrubal,Cabrera",421,
"Mike,Moustakas",421,
"Ian,Desmond",421,
"Yasiel,Puig",421,
"Nick,Williams",421,
"Yasiel,Puig",421,
"Tim,Beckham",421,
"Pedro,Alvarez",421,
"Nick,Williams",421,
"Jorge,Alfaro",421,
"Joey,Gallo",421,
"Mitch,Garver",421,
"Kole,Calhoun",421,
"Yonder,Alonso",421,
"Travis,Shaw",421,
"Chris,Davis",421,
"Adalberto,Mondesi",421,
"Mitch,Moreland",421,
"Jose,Ramirez",421,
"Yasiel,Puig",421,
"Max,Muncy",421,
"Edwin,Encarnacion",421,
"Josh,Harrison",421,
"Jurickson,Profar",421,
"Miguel,Andujar",421,
"Leonys,Martin",421,
"Whit,Merrifield",421,
"Yoan,Moncada",421,
"Jackie,Bradley,Jr.",421
"Francisco,Lindor",421,
"Shin-Soo,Choo",421,
"Khris,Davis",421,
"Carlos,Santana",421,
"Justin,Turner",421,
"Jorge,Soler",420,
"Ronald,Guzman",420,
"Joey,Wendle",420,
"Juan,Soto",420,
"Eduardo,Escobar",420,
"Joey,Wendle",420,
"Ryon,Healy",420,
"Mike,Moustakas",420,
"J.D.,Martinez",420,
"Craig,Gentry",420,
"Alex,Bregman",420,
"Matt,Carpenter",420,
"Wil,Myers",420,
"Salvador,Perez",420,
"Charlie,Blackmon",420,
"Max,Muncy",420,
"Austin,Meadows",420,
"Marcell,Ozuna",420,
"Justin,Smoak",420,
"Nolan,Arenado",420,
"Yasiel,Puig",420,
"Adrian,Beltre",420,
"Tommy,Pham",420,
"Buster,Posey",420,
"Yan,Gomes",420,
"Francisco,Lindor",420,
"Austin,Meadows",420,
"Willy,Adames",420,
"Charlie,Blackmon",420,
"Jean,Segura",420,
"Elias,Diaz",420,
"Jake,Bauers",420,
"Jose,Ramirez",420,
"Javier,Baez",420,
"Jose,Osuna",420,
"JT,Riddle",420,
"Michael,Brantley",420,
"Drew,Robinson",420,
"Nicholas,Castellanos",420,
"Josh,Harrison",420,
"David,Dahl",420,
"Javier,Baez",420,
"Gleyber,Torres",420,
"Steven,Souza,Jr.",420
"Khris,Davis",420,
"Christian,Yelich",420,
"Daniel,Palka",420,
"Jake,Cave",420,
"Salvador,Perez",420,
"A.J.,Pollock",420,
"Scooter,Gennett",420,
"Dilson,Herrera",420,
"Yasiel,Puig",420,
"Charlie,Blackmon",419,
"Mike,Moustakas",419,
"Juan,Soto",419,
"Ryan,Cordell",419,
"Francisco,Lindor",419,
